Dia;Mes;Ano;Estado;Comunidad;Sitio;Latitud;Longitud;Habitat;Zonificacion;TipoProteccion;ANP;Buzo Monitor;Hora inicial buceo;Hora final buceo;Profundidad inicial;Profundidad final;Temperatura;Visibilidad;Corriente;Transecto;Genero;Especie;GeneroEspecie;Sexo;Talla;PromedioTalla;Abundancia
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.372222222;0.436805556;15;15;19;8;Moderada;1;Stegastes;rectifraenum;Stegastes rectifraenum;NA;3;NA;13
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Stegastes;rectifraenum;Stegastes rectifraenum;NA;5;NA;12
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Bodianus;diplotaenia;Bodianus diplotaenia;NA;8;NA;8
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Chromis;atrilobata;Chromis atrilobata;NA;3;NA;130
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Chromis;atrilobata;Chromis atrilobata;NA;4;NA;67
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Holacanthus;passer;Holacanthus passer;NA;10;NA;2
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Holacanthus;passer;Holacanthus passer;NA;8;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;1;Scorpaena;mystes;Scorpaena mystes;NA;20;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Stegastes;rectifraenum;Stegastes rectifraenum;NA;3;NA;6
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Stegastes;rectifraenum;Stegastes rectifraenum;NA;5;NA;11
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Bodianus;diplotaenia;Bodianus diplotaenia;NA;10;NA;4
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Bodianus;diplotaenia;Bodianus diplotaenia;NA;15;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Chromis;atrilobata;Chromis atrilobata;NA;4;NA;139
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;2;Epinephelus;labriformis;Epinephelus labriformis;NA;15;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Stegastes;rectifraenum;Stegastes rectifraenum;NA;5;NA;6
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Stegastes;rectifraenum;Stegastes rectifraenum;NA;3;NA;12
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Bodianus;diplotaenia;Bodianus diplotaenia;NA;12;NA;2
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Bodianus;diplotaenia;Bodianus diplotaenia;NA;18;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Chromis;atrilobata;Chromis atrilobata;NA;3;NA;72
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Diodon;holocanthus;Diodon holocanthus;NA;20;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Mycteroperca;rosacea;Mycteroperca rosacea;NA;30;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Mycteroperca;rosacea;Mycteroperca rosacea;NA;40;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Mycteroperca;rosacea;Mycteroperca rosacea;NA;10;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Scorpaena;mystes;Scorpaena mystes;NA;12;NA;2
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Serranus;psittacinus;Serranus psittacinus;NA;5;NA;6
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Johnrandallia;nigrirostris;Johnrandallia nigrirostris;NA;10;NA;2
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;0.413888889;0.436805556;15;15;19;8;Moderada;3;Cephalopholis;panamensis;Cephalopholis panamensis;NA;15;NA;1
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Daniel Torres;0.413888889;0.438194444;15;15;19;4;Moderada;1;Stegastes;rectifraenum;Stegastes rectifraenum;NA;4;NA;11
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Daniel Torres;0.413888889;0.438194444;15;15;19;4;Moderada;1;Stegastes;rectifraenum;Stegastes rectifraenum;NA;5;NA;17
1;11;2007;Sonora;Bahía de Kino;Arroyo del Cartelón;28.38863;-112.30396;Arrecife Rocoso;Pesca;;Reserva de la Biosfera Isla San Pedro Mártir;Daniel Torres;0.413888889;0.438194444;15;15;19;4;Moderada;1;Stegastes;rectifraenum;Stegastes rectifraenum;NA;6;NA;5
