Orden ;Familia;Genero;Especie;Genero + Especie;Nombre Común ;Región;Recurso Deportivo;Recurso Pesquero;Recurso Ornamental;NOM-059;Peligro crítico;En Peligro;Vulnerable;Casi Amenazada;Preocupación menor;Listada. Datos deficientes;No Evaluada;Carta Nacional Pesquera (Grupo);Exóticos;Endémicos;Herbívoros ;Nivel Trofico;a;b
Perciformes;Pomacentridae;Abudefduf;saxatilis;Abudefduf saxatilis;Sargento;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3.8;0.0182;3.05
Myliobatiformes;Myliobatidae;Aetobatus;narinari;Aetobatus narinari;Raya pinta;SAM;;x;;NO;;;;x;;;;"Rayas y Mantas (Especie objetivo); Robalo y chucumite, Bandera y bagres (Especie asociada)";;;;4.2;ND;ND
Perciformes;Haemulidae;Anisotremus;virginicus;Anisotremus virginicus;Margarita;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3.6;0.01445;3.06
Perciformes;Haemulidae;Anisotremus;surinamensis;Anisotremus surinamensis;Chan Kay;SAM;;x;;NO;;;;;;;x;NINGUNO;;;;3.06;0.0166;3.05
Tetraodontiformes;Balistidae;Balistes;capriscus;Balistes capriscus;Xcochin gris;SAM;;;;NO;;;x;;;;;NINGUNO;;;;4.1;0.01905;2.93
Tetraodontiformes;Balistidae;Balistes;vetula;Balistes vetula;Xcochin azul;SAM;;;;NO;;;;x;;;;NINGUNO;;;;3.8;0.02692;2.95
Perciformes;Labridae;Bodianus;rufus;Bodianus rufus;Boquinete de arrecife;SAM;;;;NO;;;;;x;;;Huachinangos y pargos, Sierra y peto (Especie asociada);;;;3.7;ND;ND
Tetraodontiformes;Balistidae;Canthidermis;sufflamen;Canthidermis sufflamen;Xcochin blanco;SAM;;;;NO;;;;;x;;;NINGUNO;;;;3.5;0.01995;2.94
Perciformes;Carangidae;Caranx;ruber;Caranx ruber;Cojinuda;SAM;;x;;NO;;;;;x;;;NINGUNO;;;;4.3;0.01698;2.94
Perciformes;Carangidae;Caranx;latus;Caranx latus;Jurel ojón;SAM;;x;;NO;;;;;x;;;"Jurel y cojinuda (Especie objetivo); Huachinango y pargo, Trucha de mar, Sierra y peto (Especie asociada)";;;;4.2;0.02188;2.94
Perciformes;Carangidae;Caranx;bartholomaei;Caranx bartholomaei;Cojinuda amarilla;SAM;;x;;NO;;;;;x;;;Sierra y peto (Especie asociada);;;;4.5;0.02188;2.93
Perciformes;Carangidae;Caranx;crysos;Caranx crysos;Cojinuda gris;SAM;;;;NO;;;;;x;;;"Jurel y cojinuda (Especie objetivo); Sierra y peto (Especie asociada)";;;;4.1;0.01862;2.95
Perciformes;Serranidae;Cephalopholis;cruentata;Cephalopholis cruentata;Cabrilla de roca;SAM;;x;;NO;;;;;x;;;Mero, negrillo y abadejo (Especie asociada);;;;4.3;0.01096;3.07
