codigo;sitio;ano;transecto
ISPMAC-011107-DT-I-M-2;Arroyo del Cartelón;2007;1
ISPMAC-011107-FP-I-M-1;Arroyo del Cartelón;2007;2
ISPMAC-011107-JG-D-M-2;Arroyo del Cartelón;2007;3
ISPMAC-011107-JT-D-M-2;Arroyo del Cartelón;2007;4
ISPMAC-011107-NB-I-M-1;Arroyo del Cartelón;2007;5
ISPMAC-011107-RS-D-M-1;Arroyo del Cartelón;2007;6
ISPMAC-011107-SD-D-M-1;Arroyo del Cartelón;2007;7
ISPMAC-011107-UB-I-M-2;Arroyo del Cartelón;2007;8
ISPMBB-301007-DT-D-M-2;Barra baya;2007;1
ISPMBB-301007-FP-I-M-2;Barra baya;2007;2
ISPMBB-301007-JT-I-S-2;Barra baya;2007;3
ISPMBB-301007-NB-D-S-1;Barra baya;2007;4
ISPMBB-301007-RS-I-S-1;Barra baya;2007;5
ISPMBB-301007-SD-I-M-2;Barra baya;2007;6
ISPMBB-301007-UB-D-M-1;Barra baya;2007;7
ISPMAC-021107-JG-I-M-2;Los Morritos;2007;1
ISPMAC-021107-JT-I-M-1;Los Morritos;2007;2
ISPMAC-021107-RS-I-M-1;Los Morritos;2007;3
ISPMAC-021107-SD-I-M-1;Los Morritos;2007;4
ISPMLM-021107-FP-I-S-1;Los Morritos;2007;5
ISPMLM-021107-NB-D-S-1;Los Morritos;2007;6
ISPMLM-021107-UB-I-S-1;Los Morritos;2007;7
ISPMPR-311007-DT-I-M-1;Punta Rabijunco;2007;1
ISPMPR-311007-FP-I-M-2;Punta Rabijunco;2007;2
ISPMPR-311007-JG-D-M-2;Punta Rabijunco;2007;3
ISPMPR-311007-JT-D-P-2;Punta Rabijunco;2007;4
ISPMPR-311007-NB-I-M-2;Punta Rabijunco;2007;5
ISPMPR-311007-RS-D-M-1;Punta Rabijunco;2007;6
ISPMPR-311007-SD-D-P-1;Punta Rabijunco;2007;7
ISPMPR-311007-UB-I-M-1;Punta Rabijunco;2007;8
ISPMAC-191008-FP-I-M-1;Arroyo del Cartelón;2008;1
ISPMAC-191008-FP-I-M-2;Arroyo del Cartelón;2008;2
ISPMAC-191008-JT-I-P-1;Arroyo del Cartelón;2008;3
ISPMAC-191008-JT-I-P-2;Arroyo del Cartelón;2008;4
ISPMAC-191008-LE-D-P-1;Arroyo del Cartelón;2008;5
ISPMAC-191008-LE-D-P-2;Arroyo del Cartelón;2008;6
ISPMAC-191008-LE-I-S-1;Arroyo del Cartelón;2008;7
ISPMAC-191008-LE-I-S-2;Arroyo del Cartelón;2008;8
ISPMAC-191008-NB-D-M-1;Arroyo del Cartelón;2008;9
ISPMAC-191008-NB-D-M-2;Arroyo del Cartelón;2008;10
ISPMAC-191008-RS-D-S-1;Arroyo del Cartelón;2008;11
ISPMAC-191008-RS-D-S-2;Arroyo del Cartelón;2008;12
ISPMBB-201008-DT-D-S-1;Barra baya;2008;1
ISPMBB-201008-DT-D-S-2;Barra baya;2008;2
ISPMBB-201008-FP-I-P-1;Barra baya;2008;3
ISPMBB-201008-FP-I-P-2;Barra baya;2008;4
ISPMBB-201008-JT-I-M-1;Barra baya;2008;5
ISPMBB-201008-JT-I-M-2;Barra baya;2008;6
ISPMBB-201008-JT-I-S-1;Barra baya;2008;7
ISPMBB-201008-JT-I-S-2;Barra baya;2008;8
ISPMBB-201008-RS-D-P-1;Barra baya;2008;9
ISPMBB-201008-RS-D-P-2;Barra baya;2008;10
ISPMBB-201008-UB-D-M-1;Barra baya;2008;11
