"Dia","Mes","Ano","Estado","Comunidad","Sitio","Latitud","Longitud","Habitat","Zonificacion","TipoProteccion","ANP","BuzoMonitor","HoraInicial","HoraFinal","ProfundidadInicial","ProfundidadFinal","Temperatura","Visibilidad","Corriente","Transecto","Genero","Especie","GeneroEspecie","Abundancia"
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Pharia","pyramidata","Pharia pyramidata",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"ND","sp.","Gorgoniidae sp.",7
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Eucidaris","thouarsii","Eucidaris thouarsii",3
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"ND","sp.","Gorgoniidae sp.",5
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Eucidaris","thouarsii","Eucidaris thouarsii",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Isostichopus","fuscus","Isostichopus fuscus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Hyotissa","hyotis","Hyotissa hyotis",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Chama","sp.","Chama sp.",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"ND","sp.","Gorgoniidae sp.",7
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Eucidaris","thouarsii","Eucidaris thouarsii",2
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Isostichopus","fuscus","Isostichopus fuscus",1
1,11,2007,"Sonora","Bahia de Kino","Arroyo del Cartelón",28.38863,-112.30396,"Arrecife Rocoso","Zona de Pesca",NA,"Reserva de la Biosfera Isla San Pedro Mártir","Samuel Delgado",NA,NA,10,10,NA,NA,NA,7,"Hyotissa","hyotis","Hyotissa hyotis",1
