"","Genero","Especie","sciname","Comun","FoodTroph"
"1","Abudefduf","troschelli","Abudefduf troschelii","Mulegino",2.95
"2","Alphestes","immaculatus","Alphestes immaculatus","Cabrilla rosa",3.5
"3","Anisotremus","interruptus","Anisotremus interruptus","Burrito/Burro ronco",3.5
"4","Apogon","pacificus","Apogon pacificus","Cardenal",3.4
"5","Apogon","retrosella","Apogon retrosella","Cardenal de Cortés",3.5
"6","Balistes","polylepsis","Balistes polylepis","Cochito",3.34
"7","Bodianus","diplotaenia","Bodianus diplotaenia","Vieja /  Vieje de piedra",3.44
"8","Calamus","brachysomus","Calamus brachysomus","Mojarra blanca",3.64
"9","Canthigaster","punctatissima","Canthigaster punctatissima","Botete bonito",NA
"10","Cephalopholis","panamensis","Cephalopholis panamensis","Cabrilla piedrera / mero panameño / Enjambre",NA
"11","Chaetodon","humeralis","Chaetodon humeralis","Mariposa muñeca",2.72
"12","Chromis","atrilobata","Chromis atrilobata","Castaña cola de tijera",3.4
"13","Chromis","limbaughi","Chromis limbaughi","Castaña mexicana",3.4
"14","Cirrhitichthys","oxycephalus","Cirrhitichthys oxycephalus","Halcón de coral",4.01
"15","Cirrhitus","rivulatus","Cirrhitus rivulatus","Chino mero",4.02
"16","Diodon","holocanthus","Diodon holocanthus","Pez globo / Pez erizo / mapache ",3.31
"17","Diodon","hystrix","Diodon hystrix","Pez erizo picoso",3.61
"18","Diplobatis","ommata","Diplobatis ommata","Raya eléctrica ",3.32
"19","Epinephelus","analogus","Epinephelus analogus","Cabrilla pinta / Cabrilla pinto",3.84
"20","Epinephelus","labriformis","Epinephelus labriformis","Cabrilla piedreda",4
"21","Fistularia","commersonii","Fistularia commersonii","Pez corneta",4.28
"22","Girella","simplicidens","Girella simplicidens","Chopa café / Chopa ojo azul",2.82
"23","Gymnothorax","castaneus","Gymnothorax castaneus","Morena prieta o verde",4.03
"24","Gymnothorax","dovii","Gymnothorax dovii","Morena",NA
"25","Haemulon","flaviguttatum","Haemulon flaviguttatum","Rayadillo aleta amarilla / Burro / Ronco de rabo manchado",4.2
