"","Orden","Familia","Genero","Especie","sciname","NombreComun","Region","RecursoDeportivo","RecursoPesquero","RecursoOrnamental","NOM-059","PeligroCritico","EnPeligro","Vulnerable","CasiAmenazada","PreocupacionMenor","ListadaDatosDeficientes","NoEvaluada","CartaNacionalPesquera","Exoticos","Endemicos","Herbivoros","NivelTrofico","a.x","b.x","a.y","b.y","NT"
"1","Perciformes","Pomacentridae","Abudefduf","saxatilis","Abudefduf saxatilis","Sargento","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3.8","0.0182","3.05",0.0214333333333333,3.03733333333333,3.82
"2","Myliobatiformes","Myliobatidae","Aetobatus","narinari","Aetobatus narinari","Raya pinta","SAM","","x","","NO","","","","x","","","","Rayas y Mantas (Especie objetivo); Robalo y chucumite, Bandera y bagres (Especie asociada)","","","","4.2","ND","ND",0.00586,3.13,4.17
"3","Myliobatiformes","Myliobatidae","Aetobatus","narinari","Aetobatus narinari","Raya pinta","SAM","","x","","NO","","","","x","","","","Rayas y Mantas (Especie objetivo); Robalo y chucumite, Bandera y bagres (Especie asociada)","","","","4.2","ND","ND",0.00586,3.13,4.17
"4","Perciformes","Haemulidae","Anisotremus","virginicus","Anisotremus virginicus","Margarita","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3.6","0.01445","3.06",0.014,2.99566666666667,3.59
"5","Perciformes","Haemulidae","Anisotremus","surinamensis","Anisotremus surinamensis","Chan Kay","SAM","","x","","NO","","","","","","","x","NINGUNO","","","","3.06","0.0166","3.05",0.0156633333333333,3.00066666666667,3.58
"6","Tetraodontiformes","Balistidae","Balistes","capriscus","Balistes capriscus","Xcochin gris","SAM","","","","NO","","","x","","","","","NINGUNO","","","","4.1","0.01905","2.93",0.0423305882352941,2.87541176470588,4.06
"7","Tetraodontiformes","Balistidae","Balistes","vetula","Balistes vetula","Xcochin azul","SAM","","","","NO","","","","x","","","","NINGUNO","","","","3.8","0.02692","2.95",0.0533508333333333,2.88283333333333,3.82
"8","Perciformes","Labridae","Bodianus","rufus","Bodianus rufus","Boquinete de arrecife","SAM","","","","NO","","","","","x","","","Huachinangos y pargos, Sierra y peto (Especie asociada)","","","","3.7","ND","ND",0.0144,3.053,3.71
"9","Tetraodontiformes","Balistidae","Canthidermis","sufflamen","Canthidermis sufflamen","Xcochin blanco","SAM","","","","NO","","","","","x","","","NINGUNO","","","","3.5","0.01995","2.94",0.0387,2.936,3.45
"10","Perciformes","Carangidae","Caranx","ruber","Caranx ruber","Cojinuda","SAM","","x","","NO","","","","","x","","","NINGUNO","","","","4.3","0.01698","2.94",0.017824,3.024,4.28
