codigo;dia;mes ;año;latitud (N);longitud (W);sitio;Zonificación;sitio en extenso;observador;compañero;lado;survey other_depth_information;transecto;direccion;temperatura;Visibilidad;Corriente;tiempo inicio;tiempo final;profunidad inicial;profunidad  final;GeneroEspecie;talla;abundancia
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;8:56:00;10:29:00;15;15;Stegastes rectifraenum;3;13
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Stegastes rectifraenum;5;12
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Bodianus diplotaenia;8;8
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Chromis atrilobata;3;130
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Chromis atrilobata;4;67
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Holacanthus passer;10;2
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Holacanthus passer;8;1
ISPMAC-011107-FP-I-15-1-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;1;290;19;8;Moderada;9:56:00;10:29:00;15;15;Scorpaena mystes;20;1
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Stegastes rectifraenum;3;6
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Stegastes rectifraenum;5;11
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Bodianus diplotaenia;10;4
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Bodianus diplotaenia;15;1
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Chromis atrilobata;4;139
ISPMAC-011107-FP-I-15-2-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;2;290;19;8;Moderada;9:56:00;10:29:00;15;15;Epinephelus labriformis;15;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Stegastes rectifraenum;5;6
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Stegastes rectifraenum;3;12
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Bodianus diplotaenia;12;2
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Bodianus diplotaenia;18;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Chromis atrilobata;3;72
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Diodon holocanthus;20;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Mycteroperca rosacea;30;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Mycteroperca rosacea;40;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Mycteroperca rosacea;10;1
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Scorpaena mystes;12;2
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Serranus psittacinus;5;6
ISPMAC-011107-FP-I-15-3-F;1;11;2007;28.38863;-112.30396;Arroyo del Cartelón;Zona de Pesca ;Arroyo del Cartelón, Reserva de la Biosfera Isla San Pedro Mártir;Flaviano Pelayo ;Ulises Becerra;Izquierdo;near_bottom;3;290;19;8;Moderada;9:56:00;10:29:00;15;15;Johnrandallia nigrirostris;10;2
